word,frequency,language
Little,11,eng
Red,11,eng
Riding,11,eng
Hood,10,eng
brought,1,eng
her,3,eng
grandma,6,eng
some,5,eng
bread,2,eng
left,1,eng
the,16,eng
house,3,eng
with,2,eng
and,9,eng
water,1,eng
grape,1,eng
juice,1,eng
was,4,eng
scared,2,eng
by,2,eng
big,1,eng
bad,1,eng
wolf,10,eng
wait,1,eng
not,1,eng
right,1,eng
a,4,eng
picking,1,eng
flowers,2,eng
snuck,1,eng
into,3,eng
ate,1,eng
gave,1,eng
noticed,1,eng
that,1,eng
his,2,eng
ambushed,1,eng
man,4,eng
came,1,eng
saw,1,eng
passed,1,eng
out,2,eng
on,1,eng
bed,1,eng
from,1,eng
eating,1,eng
cut,1,eng
open,1,eng
got,1,eng
hood,1,eng
put,1,eng
bunch,2,eng
of,2,eng
rocks,2,eng
in,2,eng
stomache,1,eng
ran,1,eng
tried,1,eng
to,2,eng
run,1,eng
away,1,eng
belly,1,eng
they,1,eng
he,1,eng
fell,1,eng
well,1,eng
waved,1,eng
goodbye,1,eng
