word,frequency,language
Lucy,8,eng
danced,3,eng
a,158,eng
marvelous,1,eng
dance,1,eng
for,28,eng
her,214,eng
grandmother,68,eng
and,460,eng
three,4,eng
birds,11,eng
waved,12,eng
goodbye,31,eng
to,275,eng
mother,12,eng
when,26,eng
she,117,eng
set,3,eng
off,4,eng
house,64,eng
seem,1,eng
see,20,eng
the,804,eng
great,4,eng
big,30,eng
wolf,269,eng
right,3,eng
behind,8,eng
was,141,eng
delivering,2,eng
biscuits,4,eng
delivered,1,eng
picking,6,eng
flowers,27,eng
went,27,eng
straight,2,eng
so,61,eng
scared,15,eng
came,35,eng
into,29,eng
or,25,eng
very,17,eng
case,1,eng
placing,1,eng
in,82,eng
vase,9,eng
bad,10,eng
licked,1,eng
his,33,eng
lips,2,eng
he,110,eng
i,23,eng
guess,4,eng
little,83,eng
suspicious,3,eng
about,15,eng
saw,18,eng
how,8,eng
face,4,eng
looked,5,eng
but,25,eng
finally,6,eng
realized,3,eng
it,44,eng
jumped,12,eng
up,41,eng
ready,8,eng
eat,46,eng
ate,19,eng
though,1,eng
hunter,41,eng
door,4,eng
end,5,eng
open,15,eng
cut,16,eng
saved,7,eng
brought,7,eng
some,30,eng
heavy,3,eng
rocks,42,eng
put,19,eng
hole,2,eng
that,63,eng
belly,21,eng
grandma,118,eng
sewed,5,eng
would,3,eng
woke,3,eng
full,16,eng
of,59,eng
stones,4,eng
could,7,eng
barely,3,eng
walk,4,eng
after,12,eng
dog,13,eng
animals,5,eng
alright,1,eng
looks,13,eng
like,31,eng
girl,140,eng
is,85,eng
dancing,4,eng
around,6,eng
room,3,eng
are,18,eng
looking,11,eng
wondering,1,eng
what,13,eng
doing,1,eng
does,3,eng
not,29,eng
look,7,eng
paying,5,eng
attention,5,eng
anything,2,eng
especially,1,eng
can,5,eng
knock,2,eng
down,7,eng
firepot,1,eng
break,1,eng
tv,1,eng
bird,5,eng
on,37,eng
ground,2,eng
either,3,eng
cheered,1,eng
while,18,eng
at,25,eng
something,16,eng
counter,1,eng
we,3,eng
took,4,eng
basket,12,eng
wine,2,eng
grapes,2,eng
other,1,eng
things,3,eng
maybe,3,eng
picnic,2,eng
walked,8,eng
with,64,eng
seemingly,1,eng
nothing,1,eng
happening,3,eng
ended,4,eng
chasing,4,eng
chased,3,eng
then,82,eng
guy,3,eng
background,1,eng
axe,3,eng
got,27,eng
mad,2,eng
might,2,eng
have,15,eng
attacked,5,eng
tried,20,eng
trying,17,eng
seek,1,eng
watching,2,eng
they,55,eng
flying,1,eng
warn,1,eng
somebody,1,eng
probably,4,eng
top,3,eng
take,3,eng
costume,3,eng
hurt,1,eng
has,10,eng
been,7,eng
taken,4,eng
by,15,eng
spot,1,eng
mice,2,eng
underneath,1,eng
bed,17,eng
because,25,eng
no,12,eng
idea,3,eng
going,23,eng
thinking,5,eng
did,9,eng
expect,1,eng
hide,3,eng
covering,1,eng
himself,3,eng
blanket,1,eng
successful,1,eng
decides,1,eng
decided,1,eng
pounce,1,eng
tries,8,eng
start,2,eng
running,5,eng
away,16,eng
process,1,eng
all,23,eng
this,18,eng
knocked,3,eng
over,10,eng
dresser,1,eng
somehow,4,eng
alerted,1,eng
happened,2,eng
seems,3,eng
lot,5,eng
stuff,4,eng
including,1,eng
now,10,eng
definitely,2,eng
get,15,eng
shot,1,eng
its,2,eng
whole,6,eng
destroyed,1,eng
there,20,eng
really,14,eng
child,9,eng
still,6,eng
alive,5,eng
stomach,15,eng
sound,1,eng
asleep,3,eng
be,11,eng
dead,5,eng
I,6,eng
happy,16,eng
feels,1,eng
people,3,eng
man,22,eng
brining,2,eng
refill,1,eng
resew,1,eng
back,24,eng
together,1,eng
reason,2,eng
hungry,5,eng
water,11,eng
thirst,1,eng
pleased,1,eng
themselves,1,eng
gonna,2,eng
think,9,eng
fall,1,eng
well,19,eng
stuck,1,eng
since,3,eng
go,21,eng
home,12,eng
keep,1,eng
hunting,1,eng
too,4,eng
ok,3,eng
red,37,eng
riding,16,eng
hood,21,eng
giving,1,eng
goodies,7,eng
sick,4,eng
living,1,eng
cabin,1,eng
woods,6,eng
along,4,eng
way,6,eng
met,1,eng
saying,7,eng
making,2,eng
carrying,1,eng
give,6,eng
encountered,2,eng
grandmothers,1,eng
also,2,eng
who,3,eng
them,15,eng
having,2,eng
an,4,eng
interaction,1,eng
made,5,eng
before,6,eng
stopped,4,eng
bouquet,1,eng
tricked,1,eng
attacking,1,eng
cottage,2,eng
out,40,eng
impersonated,1,eng
getting,4,eng
noticed,6,eng
these,1,eng
different,3,eng
didnt,1,eng
make,3,eng
sense,1,eng
ears,5,eng
eyes,4,eng
nose,3,eng
hands,1,eng
revealed,2,eng
run,6,eng
once,5,eng
wolfs,2,eng
digesting,1,eng
huntsman,1,eng
killed,4,eng
recused,1,eng
rescue,1,eng
had,36,eng
pull,1,eng
filling,3,eng
here,1,eng
as,14,eng
skin,1,eng
everybody,5,eng
lived,6,eng
happily,7,eng
ever,6,eng
just,9,eng
drowning,1,eng
gave,12,eng
headsman,1,eng
avoid,1,eng
being,3,eng
followed,3,eng
another,1,eng
outside,1,eng
okay,6,eng
bring,3,eng
walking,14,eng
path,1,eng
attack,3,eng
inside,13,eng
pretending,2,eng
tricking,1,eng
notices,3,eng
heard,5,eng
commotion,1,eng
were,12,eng
collected,1,eng
fun,2,eng
him,23,eng
point,1,eng
returning,1,eng
yeah,5,eng
Little,56,eng
Red,67,eng
Riding,67,eng
Hood,64,eng
cape,4,eng
left,13,eng
food,16,eng
waving,1,eng
oh,7,eng
strange,2,eng
wanted,11,eng
woodcutter,3,eng
desk,3,eng
whether,1,eng
most,1,eng
tasty,1,eng
salt,1,eng
pepper,1,eng
surprised,3,eng
Wolf,4,eng
actually,5,eng
bounced,1,eng
crashing,1,eng
using,1,eng
scissors,3,eng
why,12,eng
use,1,eng
even,2,eng
care,2,eng
realize,1,eng
gone,1,eng
stitched,1,eng
laughing,5,eng
hopped,1,eng
onto,1,eng
laughed,3,eng
screaming,2,eng
said,13,eng
wants,3,eng
leave,1,eng
showing,2,eng
new,4,eng
through,4,eng
forest,14,eng
where,4,eng
passed,3,eng
lumberjack,12,eng
picked,3,eng
uh,2,eng
further,1,eng
next,21,eng
plate,1,eng
cookies,10,eng
laid,2,eng
hidden,1,eng
started,9,eng
tipped,1,eng
nightstand,1,eng
found,11,eng
laying,1,eng
rescued,1,eng
filled,6,eng
sew,2,eng
family,3,eng
watched,1,eng
bread,2,eng
grape,1,eng
juice,1,eng
wait,1,eng
snuck,1,eng
ambushed,1,eng
from,6,eng
eating,5,eng
bunch,5,eng
stomache,11,eng
ran,1,eng
fell,7,eng
returned,1,eng
sitting,2,eng
know,9,eng
knocking,1,eng
table,5,eng
eaten,7,eng
yesterday,1,eng
good,2,eng
will,5,eng
rewarded,1,eng
day,1,eng
arrived,2,eng
pretended,3,eng
bought,1,eng
asked,3,eng
question,1,eng
placed,1,eng
stiched,1,eng
relieved,1,eng
coat,3,eng
leaving,5,eng
somewhere,2,eng
stop,2,eng
hiding,3,eng
if,3,eng
kill,4,eng
feeding,3,eng
coal,1,eng
drink,3,eng
granddaughter,3,eng
skipping,1,eng
forward,1,eng
fox,9,eng
stranger,1,eng
picture,1,eng
ranger,3,eng
takes,1,eng
shortcut,1,eng
eats,6,eng
sneaking,1,eng
mean,2,eng
putting,6,eng
licking,2,eng
you,19,eng
teeth,3,eng
half,1,eng
free,3,eng
mouth,3,eng
sewing,2,eng
tummy,2,eng
bush,1,eng
woman,1,eng
snacks,3,eng
grandchild,5,eng
sneak,1,eng
sees,9,eng
weird,2,eng
features,2,eng
sheriff,5,eng
comes,9,eng
helps,1,eng
goes,14,eng
town,3,eng
everyone,2,eng
stuffed,2,eng
daughter,2,eng
says,14,eng
bye,4,eng
tells,3,eng
jacket,2,eng
someplace,1,eng
mom,5,eng
aka,4,eng
disgusting,1,eng
ginormous,3,eng
holding,2,eng
ax,2,eng
smiling,1,eng
puts,3,eng
brings,3,eng
pervertedly,1,eng
better,5,eng
hear,1,eng
claws,4,eng
hug,1,eng
last,1,eng
page,1,eng
jumps,6,eng
please,8,eng
do,6,eng
me,2,eng
yes,4,eng
your,5,eng
my,3,eng
gets,7,eng
sadly,1,eng
cames,1,eng
pooch,1,eng
santa,3,eng
shoots,1,eng
hopefully,1,eng
opens,3,eng
guts,1,eng
blood,1,eng
rated,2,eng
pg,2,eng
live,1,eng
which,3,eng
thread,1,eng
r,1,eng
die,2,eng
fate,1,eng
knows,2,eng
instead,4,eng
rock,1,eng
beacuse,1,eng
heart,1,eng
must,1,eng
crushed,1,eng
drowns,1,eng
fat,3,eng
preciouses,1,eng
time,4,eng
save,2,eng
enjoy,1,eng
moustache,1,eng
slim,2,eng
mr,2,eng
gunman,1,eng
gun,4,eng
redhead,1,eng
windowsill,1,eng
floor,2,eng
checking,1,eng
scares,1,eng
scare,5,eng
shoot,1,eng
fill,2,eng
thanks,2,eng
granny,15,eng
leftlittle,1,eng
gather,1,eng
muffins,3,eng
sent,1,eng
ride,1,eng
redding,1,eng
thinks,3,eng
odd,1,eng
furry,1,eng
snipped,2,eng
rockin,1,eng
pretend,1,eng
supposed,1,eng
Oh,1,eng
such,1,eng
village,2,eng
wave,2,eng
notice,3,eng
feasting,1,eng
change,1,eng
shocked,1,eng
differences,1,eng
asking,2,eng
several,1,eng
questions,2,eng
finds,3,eng
previously,1,eng
chases,1,eng
feast,3,eng
neighbor,3,eng
discover,1,eng
cuts,3,eng
release,1,eng
Litte,1,eng
replace,1,eng
wakes,2,eng
stitches,1,eng
noticing,1,eng
falls,2,eng
Goldilocks,1,eng
talking,1,eng
lots,1,eng
window,3,eng
upon,1,eng
sneaky,5,eng
trick,1,eng
fresh,1,eng
Litle,1,eng
wood,1,eng
chopper,1,eng
safe,2,eng
again,4,eng
opened,1,eng
flew,1,eng
applauding,1,eng
bottle,2,eng
napkins,1,eng
bunnies,1,eng
squirrels,1,eng
fly,1,eng
thought,8,eng
fixing,1,eng
flower,2,eng
pot,2,eng
poured,1,eng
glasses,1,eng
mouse,1,eng
afraid,1,eng
everything,4,eng
long,1,eng
ago,1,eng
cake,1,eng
birthday,5,eng
hoodie,1,eng
angry,3,eng
told,1,eng
apparently,1,eng
talk,3,eng
green,1,eng
block,1,eng
grabbed,1,eng
disguised,1,eng
sharp,2,eng
turned,1,eng
caught,2,eng
chase,1,eng
upset,1,eng
peck,1,eng
noise,2,eng
check,1,eng
shotgun,1,eng
sure,1,eng
sleeping,2,eng
body,2,eng
wherewell,1,eng
thirsty,2,eng
thanked,2,eng
saving,1,eng
wolves,1,eng
cloak,4,eng
pick,2,eng
stops,1,eng
runs,1,eng
ahead,1,eng
leapt,1,eng
gives,2,eng
sets,1,eng
pretends,1,eng
leaps,1,eng
starts,1,eng
hears,1,eng
come,3,eng
stiches,1,eng
throw,1,eng
sounds,1,eng
cause,1,eng
taking,1,eng
um,1,eng
named,1,eng
Aleese,1,eng
bake,1,eng
pie,2,eng
leaves,2,eng
headed,2,eng
heads,1,eng
ingredients,2,eng
needs,1,eng
sort,1,eng
howl,1,eng
trees,1,eng
huge,2,eng
taller,1,eng
than,2,eng
bit,5,eng
farther,1,eng
farmer,8,eng
attempting,1,eng
littler,1,eng
anymore,1,eng
toward,1,eng
needed,1,eng
place,1,eng
sleep,2,eng
arrives,1,eng
matter,1,eng
places,1,eng
cooking,1,eng
dear,1,eng
voice,1,eng
seemed,2,eng
peculiar,1,eng
wanders,1,eng
covers,3,eng
itself,2,eng
covered,1,eng
headache,1,eng
earlier,1,eng
girls,1,eng
dont,1,eng
pounces,1,eng
finish,1,eng
kills,1,eng
intact,1,eng
finished,1,eng
their,1,eng
walks,2,eng
pain,1,eng
wished,1,eng
farewell,2,eng
trail,2,eng
talks,1,eng
nope,1,eng
waves,1,eng
stray,1,eng
straw,1,eng
dives,1,eng
large,2,eng
lying,2,eng
died,1,eng
wold,1,eng
move,1,eng
much,1,eng
important,1,eng
suddenly,1,eng
reached,1,eng
dressed,3,eng
waiting,1,eng
wrong,1,eng
woodsman,7,eng
visit,2,eng
one,2,eng
try,1,eng
m,1,eng
fast,1,eng
kind,1,eng
broke,2,eng
threw,1,eng
mhm,1,eng
umtheyuh,1,eng
ehthe,1,eng
beat,1,eng
wolfum,1,eng
describe,1,eng
frogs,1,eng
plus,1,eng
succeed,1,eng
old,1,eng
preparing,1,eng
drinks,1,eng
answered,1,eng
girlish,1,eng
wore,1,eng
pink,1,eng
thing,1,eng
bow,1,eng
tie,1,eng
someone,1,eng
tell,1,eng
packed,1,eng
towards,1,eng
smelled,1,eng
starting,1,eng
act,1,eng
faster,1,eng
quickly,1,eng
plan,1,eng
gobbled,1,eng
soon,2,eng
eventually,5,eng
under,2,eng
figured,1,eng
called,1,eng
attempt,1,eng
wondered,1,eng
pushed,1,eng
super,1,eng
story,1,eng
following,1,eng
visiting,1,eng
stoppped,1,eng
coulf,1,eng
destination,1,eng
visited,1,eng
confused,1,eng
fact,2,eng
suprised,1,eng
succeeding,1,eng
broken,1,eng
entered,1,eng
find,2,eng
both,2,eng
characters,1,eng
helped,1,eng
suspect,1,eng
togher,1,eng
succeeded,1,eng
escorted,1,eng
excited,2,eng
clap,1,eng
able,1,eng
fallen,1,eng
ill,1,eng
second,1,eng
turns,1,eng
clothes,1,eng
jumping,1,eng
deep,1,eng
swallowed,1,eng
helping,2,eng
thank,1,eng
trip,1,eng
say,1,eng
except,1,eng
lives,1,eng
stays,1,eng
forever,1,eng
