language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
spa,613,233,2.264,102.912,90,226,0.398,0,0,0,90,226,0.398,7,33.286
spa,612,184,1.953,94.205,75,169,0.444,0,0,0,75,169,0.444,15,12.267
spa,619,306,3.187,96.022,101,273,0.37,0,0,0,101,273,0.37,33,9.273
spa,609,210,2.505,83.823,62,185,0.335,0,0,0,62,185,0.335,25,8.4
spa,602,184,2.258,81.475,74,180,0.411,0,0,0,74,180,0.411,4,46.0
spa,601,215,2.121,101.37,87,203,0.429,0,0,0,87,203,0.429,12,17.917
spa,610,358,4.528,79.067,126,341,0.37,0,0,0,126,341,0.37,17,21.059
eng,605,242,3.03,79.858,99,226,0.438,99,226,0.438,0,0,0.0,16,15.125
spa,611,256,2.107,121.52,96,241,0.398,1,1,1.0,95,240,0.394,15,17.067
spa,604,271,2.81,96.451,100,253,0.395,0,0,0,100,253,0.395,18,15.056
