language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
eng,146,180,3.817,47.162,78,166,0.47,78,166,0.47,0,0,0.0,14,12.857
eng,136,571,6.533,87.398,166,510,0.325,166,510,0.325,0,0,0.0,61,9.361
spa,150,146,6.615,22.07,37,123,0.301,3,9,0.333,34,114,0.276,23,6.348
eng,104,421,3.738,112.615,119,365,0.326,118,364,0.324,1,1,0.003,56,7.518
spa,107,291,8.329,34.939,76,258,0.295,8,12,0.667,68,246,0.264,33,8.818
eng,111,295,3.3,89.394,90,268,0.336,90,268,0.336,0,0,0.0,27,10.926
spa,129,258,4.845,53.247,93,236,0.394,0,0,0,93,236,0.394,22,11.727
spa,135,201,3.338,60.207,79,193,0.409,0,0,0,79,193,0.409,8,25.125
spa,145,188,6.735,27.916,60,160,0.375,4,4,1.0,56,156,0.35,28,6.714
eng,153,637,8.9,71.573,191,604,0.316,191,604,0.316,0,0,0.0,33,19.303
