language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
eng,334,242,3.571,67.768,91,227,0.401,91,227,0.401,0,0,0.0,15,16.133
eng,303,377,5.95,63.361,132,356,0.371,132,356,0.371,0,0,0.0,21,17.952
eng,341,332,4.083,81.306,120,295,0.407,120,295,0.407,0,0,0.0,37,8.973
eng,331,331,4.2,78.81,103,317,0.325,103,317,0.325,0,0,0.0,14,23.643
eng,329,218,5.397,40.395,88,214,0.411,88,214,0.411,0,0,0.0,4,54.5
eng,324,238,3.367,70.693,71,203,0.35,71,203,0.35,0,0,0.0,35,6.8
eng,316,398,5.633,70.649,139,364,0.382,139,364,0.382,0,0,0.0,34,11.706
eng,338,193,4.283,45.058,71,180,0.394,71,180,0.394,0,0,0.0,13,14.846
eng,328,197,4.424,44.526,80,197,0.406,80,197,0.406,0,0,0.0,0,0
eng,315,567,6.654,85.209,185,503,0.368,185,503,0.368,0,0,0.0,64,8.859
