language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
eng,504,376,3.624,103.753,113,350,0.323,113,350,0.323,0,0,0.0,26,14.462
spa,512,396,7.166,55.261,83,289,0.287,4,4,1.0,79,285,0.273,107,3.701
eng,518,584,6.183,94.447,193,525,0.368,193,525,0.368,0,0,0.0,59,9.898
spa,507,611,7.796,78.374,161,503,0.32,29,33,0.879,132,470,0.262,108,5.657
eng,511,406,5.4,75.185,140,368,0.38,140,368,0.38,0,0,0.0,38,10.684
eng,508,220,3.6,61.111,96,219,0.438,96,219,0.438,0,0,0.0,1,220.0
eng,514,244,3.767,64.779,58,205,0.283,58,205,0.283,0,0,0.0,39,6.256
spa,502,249,5.481,45.428,77,248,0.31,0,0,0,77,248,0.31,1,249.0
spa,517,569,7.964,71.443,130,414,0.314,11,11,1.0,119,403,0.287,155,3.671
eng,501,259,3.628,71.392,96,237,0.405,96,237,0.405,0,0,0.0,22,11.773
