word,frequency,language
the,39,eng
girl,11,eng
in,6,eng
red,2,eng
hood,1,eng
blue,1,eng
dress,1,eng
was,5,eng
walking,4,eng
away,2,eng
to,10,eng
leave,1,eng
her,7,eng
house,4,eng
cape,1,eng
waved,1,eng
goodbye,2,eng
mom,1,eng
that,1,eng
she,3,eng
as,4,eng
a,2,eng
wolf,7,eng
tried,2,eng
attack,2,eng
from,1,eng
behind,1,eng
followed,1,eng
and,13,eng
come,1,eng
inside,1,eng
ate,1,eng
grandma,5,eng
pretended,1,eng
be,1,eng
hid,1,eng
into,2,eng
prepared,1,eng
flowers,1,eng
for,1,eng
seems,1,eng
little,5,eng
bit,1,eng
confused,1,eng
went,2,eng
ask,1,eng
what,1,eng
happened,1,eng
sprung,1,eng
up,2,eng
hunter,4,eng
his,3,eng
dog,4,eng
came,2,eng
sound,1,eng
asleep,1,eng
after,1,eng
eating,1,eng
both,2,eng
cut,1,eng
open,1,eng
stomach,5,eng
out,2,eng
while,1,eng
still,1,eng
sleeping,1,eng
rocks,3,eng
put,1,eng
grandmother,2,eng
sewed,1,eng
are,2,eng
all,1,eng
watching,1,eng
laughing,1,eng
has,1,eng
difficulty,1,eng
because,1,eng
were,1,eng
leaving,1,eng
waves,1,eng
