word,frequency,language
the,29,eng
birds,2,eng
and,8,eng
grandma,6,eng
were,2,eng
happy,1,eng
to,12,eng
see,1,eng
girl,5,eng
dance,1,eng
said,2,eng
buy,1,eng
her,4,eng
mom,1,eng
bring,1,eng
some,1,eng
food,2,eng
somebody,1,eng
wolf,9,eng
once,1,eng
tries,3,eng
scare,2,eng
but,1,eng
it,3,eng
has,3,eng
no,3,eng
effect,3,eng
on,1,eng
sneaks,1,eng
in,1,eng
front,1,eng
of,1,eng
goes,2,eng
a,4,eng
house,1,eng
scares,1,eng
that,1,eng
comes,1,eng
pretends,1,eng
be,1,eng
sets,1,eng
all,3,eng
for,1,eng
up,1,eng
girls,1,eng
asks,1,eng
question,1,eng
answer,1,eng
hunter,3,eng
inside,1,eng
look,1,eng
what,1,eng
happened,1,eng
not,1,eng
right,1,eng
stomach,3,eng
cut,1,eng
so,1,eng
they,2,eng
can,1,eng
go,1,eng
help,1,eng
got,1,eng
rocks,1,eng
put,1,eng
into,1,eng
is,2,eng
thirsty,2,eng
maybe,1,eng
by,1,eng
well,1,eng
bye,1,eng
