word,frequency,language
Caperucita,14,spa
Roja,5,spa
un,4,spa
día,2,spa
estaba,1,spa
con,4,spa
su,7,spa
abuela,1,spa
la,13,spa
a,12,spa
ambas,1,spa
les,1,spa
gustaban,1,spa
los,1,spa
pasteles,1,spa
estando,1,spa
en,4,spa
casa,3,spa
mamá,1,spa
le,1,spa
dio,1,spa
una,2,spa
canasta,1,spa
de,6,spa
galletas,1,spa
para,2,spa
llevárselas,1,spa
abuelita,10,spa
el,13,spa
camino,2,spa
encontró,1,spa
al,3,spa
lobo,11,spa
pero,2,spa
cazador,5,spa
también,1,spa
vio,1,spa
y,13,spa
se,7,spa
entretuvo,1,spa
las,1,spa
flores,1,spa
mientras,1,spa
parecía,1,spa
ir,1,spa
hacia,1,spa
tuvo,1,spa
idea,1,spa
fue,1,spa
directo,1,spa
atacar,1,spa
llega,2,spa
sirve,1,spa
mesa,1,spa
simuló,1,spa
ser,1,spa
acostó,1,spa
cama,1,spa
acerca,1,spa
realidad,1,spa
era,1,spa
da,1,spa
cuenta,1,spa
que,1,spa
está,1,spa
diferente,1,spa
asusta,1,spa
parecer,1,spa
come,1,spa
ve,1,spa
escena,1,spa
logra,1,spa
salvar,1,spa
del,1,spa
junto,1,spa
llenan,1,spa
piedras,1,spa
despierta,1,spa
no,1,spa
puede,1,spa
más,1,spa
peso,1,spa
cae,1,spa
dentro,1,spa
río,1,spa
despiden,1,spa
