word,frequency,language
Caperucita,12,spa
Roja,11,spa
era,1,spa
una,2,spa
niña,2,spa
muy,2,spa
feliz,3,spa
a,14,spa
la,12,spa
que,11,spa
le,6,spa
gustaba,2,spa
siempre,1,spa
cargar,1,spa
su,10,spa
caperucita,1,spa
de,8,spa
color,1,spa
rojo,1,spa
visitar,1,spa
abuela,8,spa
gustaban,1,spa
mucho,1,spa
los,1,spa
pasteles,1,spa
mamá,1,spa
un,5,spa
día,1,spa
dijo,1,spa
podría,1,spa
llevar,1,spa
poco,1,spa
comida,1,spa
sería,1,spa
bueno,1,spa
ella,1,spa
fuera,1,spa
visitarla,1,spa
el,17,spa
lobo,11,spa
se,9,spa
deleitó,1,spa
con,4,spa
canasta,1,spa
y,13,spa
más,4,spa
paseaba,1,spa
por,1,spa
bosque,1,spa
cazador,6,spa
estaba,4,spa
en,6,spa
área,1,spa
quiso,1,spa
ahuyentar,1,spa
al,3,spa
pero,1,spa
no,4,spa
hizo,1,spa
caso,1,spa
cortó,2,spa
muchas,1,spa
florecitas,1,spa
camino,1,spa
para,3,spa
cambio,1,spa
llegó,1,spa
directo,1,spa
casa,2,spa
entrar,1,spa
abalanzó,2,spa
contra,2,spa
abuelita,4,spa
comió,1,spa
puso,2,spa
las,3,spa
flores,1,spa
había,4,spa
recogido,1,spa
macetero,1,spa
todas,1,spa
cosas,1,spa
trajo,1,spa
desde,1,spa
mesa,1,spa
pues,3,spa
ya,2,spa
tenía,2,spa
cerca,1,spa
sorprendida,1,spa
nunca,1,spa
visto,1,spa
tan,1,spa
extraña,1,spa
cargaba,1,spa
unas,2,spa
garras,1,spa
ojos,1,spa
grandotes,1,spa
esperó,1,spa
tirando,1,spa
todo,1,spa
salió,1,spa
huyendo,1,spa
pudo,2,spa
ver,1,spa
cómo,1,spa
comido,2,spa
gran,2,spa
barriga,1,spa
sacó,1,spa
tijeras,1,spa
estómago,1,spa
del,1,spa
sacando,1,spa
así,2,spa
llenó,1,spa
piedras,2,spa
hiciera,1,spa
daño,1,spa
nadie,1,spa
cargando,1,spa
esa,1,spa
cantidad,1,spa
cayó,1,spa
pozo,1,spa
rió,1,spa
junto,2,spa
despidió,1,spa
