word,frequency,language
Caperucita,7,spa
Roja,6,spa
era,2,spa
una,3,spa
niña,1,spa
alegre,1,spa
y,12,spa
tenía,3,spa
capa,1,spa
roja,1,spa
iba,1,spa
a,9,spa
visitar,1,spa
su,5,spa
abuela,6,spa
en,5,spa
el,10,spa
bosque,4,spa
le,2,spa
llevaba,2,spa
pastel,1,spa
también,1,spa
canasta,1,spa
donde,2,spa
pan,1,spa
uva,1,spa
agua,2,spa
mientras,1,spa
caminaba,1,spa
por,3,spa
se,5,spa
encontró,2,spa
con,3,spa
un,3,spa
lobo,8,spa
ella,2,spa
ignoró,1,spa
porque,1,spa
amiga,1,spa
de,3,spa
los,1,spa
animales,1,spa
camino,2,spa
recogió,2,spa
unas,1,spa
flores,2,spa
aprovechó,1,spa
ese,1,spa
momento,1,spa
para,1,spa
ir,1,spa
la,9,spa
casa,3,spa
pensó,1,spa
que,3,spa
comería,1,spa
llegó,2,spa
sirvió,1,spa
lo,2,spa
galletas,1,spa
las,2,spa
estaba,1,spa
acostado,2,spa
sobre,2,spa
cama,2,spa
fingió,1,spa
ser,1,spa
atacó,1,spa
escapó,1,spa
después,2,spa
cazador,4,spa
mató,1,spa
al,4,spa
vivieron,1,spa
fue,1,spa
rocas,1,spa
entregó,1,spa
llevaron,1,spa
pozo,1,spa
tiraron,1,spa
volvió,1,spa
