word,frequency,language
there,5,eng
was,9,eng
a,13,eng
little,7,eng
girl,12,eng
in,3,eng
house,8,eng
with,8,eng
her,8,eng
grandmother,9,eng
and,29,eng
they,2,eng
were,2,eng
very,5,eng
happy,3,eng
bunch,1,eng
of,5,eng
birds,2,eng
chirping,1,eng
all,1,eng
yeah,1,eng
so,2,eng
then,6,eng
the,63,eng
left,2,eng
basket,2,eng
yup,1,eng
when,1,eng
going,1,eng
through,1,eng
forest,2,eng
scary,1,eng
man,7,eng
an,1,eng
ax,1,eng
wolf,16,eng
that,3,eng
chasing,2,eng
but,1,eng
she,2,eng
did,1,eng
not,5,eng
see,1,eng
them,2,eng
animals,1,eng
continued,1,eng
to,10,eng
watch,1,eng
went,1,eng
as,6,eng
watched,2,eng
looking,2,eng
behind,2,eng
him,1,eng
enters,1,eng
attacks,1,eng
probably,1,eng
eats,1,eng
is,1,eng
brings,1,eng
water,1,eng
flowers,1,eng
back,3,eng
from,3,eng
woods,2,eng
or,1,eng
brought,2,eng
it,3,eng
mice,1,eng
while,1,eng
had,2,eng
eaten,2,eng
presumably,1,eng
stolen,1,eng
clothes,1,eng
now,1,eng
disguised,3,eng
himself,2,eng
bed,4,eng
hungrily,1,eng
at,3,eng
approached,1,eng
started,2,eng
talking,1,eng
who,2,eng
trying,1,eng
hide,1,eng
underneath,1,eng
covers,1,eng
disguise,1,eng
his,2,eng
identity,1,eng
revelead,1,eng
jumped,1,eng
out,1,eng
he,1,eng
realized,1,eng
after,1,eng
both,1,eng
seems,1,eng
resting,1,eng
taking,1,eng
nap,1,eng
their,2,eng
shotgun,1,eng
dog,2,eng
arrived,1,eng
discovered,1,eng
sitting,1,eng
on,1,eng
wow,1,eng
i,1,eng
guess,1,eng
sliced,1,eng
open,2,eng
pair,1,eng
scissors,1,eng
although,2,eng
looked,2,eng
contented,3,eng
retrieved,1,eng
child,1,eng
stomach,2,eng
quite,2,eng
honestly,1,eng
clear,1,eng
what,1,eng
actually,1,eng
happened,1,eng
because,1,eng
looks,2,eng
pretty,1,eng
safe,1,eng
cut,1,eng
some,2,eng
rocks,2,eng
fill,1,eng
up,1,eng
everyone,2,eng
about,1,eng
situation,1,eng
three,2,eng
woman,1,eng
hid,1,eng
bushes,1,eng
watching,1,eng
belly,1,eng
full,1,eng
look,1,eng
upset,1,eng
wander,1,eng
towards,1,eng
well,1,eng
laughed,1,eng
waved,1,eng
goodbye,1,eng
gun,1,eng
appears,1,eng
go,1,eng
into,1,eng
