lo,PRON,4,4,0,0,5,0,0,1,0
mató,VERB,1,0,1,0,0,0,0,0,0
cortó,VERB,2,0,0,0,2,0,0,1,0
tijeras,NOUN,1,0,0,0,0,0,1,0,0
salvó,VERB,1,0,0,0,0,1,0,0,0
ah,INTJ,1,0,0,0,0,0,0,0,0
no,INTJ,1,0,0,0,0,0,0,0,0
simplemente,ADV,1,0,0,0,0,0,0,0,0
dormido,ADJ,1,1,0,0,0,0,0,0,0
fue,AUX,1,0,1,0,2,1,1,2,0
cogió,VERB,1,0,0,0,0,0,0,0,0
unas,DET,1,0,0,2,3,0,2,0,0
piedras,NOUN,3,1,2,2,4,2,1,2,1
perro,NOUN,1,0,0,0,2,0,0,1,2
ayudó,VERB,1,0,0,0,0,0,0,2,0
llenaron,VERB,1,0,0,0,0,0,0,0,0
panza,NOUN,1,1,0,3,0,2,0,0,0
lista,NOUN,1,0,0,0,0,0,0,0,0
coserla,VERB,1,0,0,0,0,0,0,0,0
despertó,VERB,1,0,0,0,2,0,0,0,0
sintió,VERB,1,0,0,0,0,0,0,0,0
súper,ADJ,1,0,0,0,0,0,0,0,0
súper,NOUN,1,0,0,0,0,0,0,0,0
mal,ADV,1,0,0,0,0,0,0,0,0
hacia,ADP,1,0,0,0,0,0,0,0,0
sé,VERB,1,1,0,0,0,0,0,0,0
cómo,ADV,1,0,0,0,2,0,0,0,0
dice,VERB,2,0,0,0,0,0,0,0,0
well,ADV,3,0,0,0,0,0,0,1,0
cómo,INTJ,1,0,0,0,0,0,0,0,0
donde,ADV,1,0,0,0,0,1,0,0,0
agua,NOUN,1,1,0,2,1,0,0,0,0
cayó,VERB,1,0,0,0,1,0,0,0,0
dentro,ADV,1,1,0,2,1,0,0,0,0
como,ADV,1,0,0,0,0,0,0,0,1
lleno,ADJ,1,1,1,0,2,0,0,1,1
más,ADV,1,2,0,0,2,0,0,0,0
seguro,NOUN,1,0,0,0,0,0,0,0,0
ahogó,VERB,1,0,0,0,0,0,0,0,0
todo,PRON,1,0,0,0,0,0,0,0,0
acabó,VERB,1,0,0,0,0,0,0,0,0
feliz,ADJ,1,0,0,0,0,0,0,0,0
volver,VERB,1,0,0,0,0,0,0,0,0
fin,NOUN,1,0,1,0,0,0,1,0,0
esta,PRON,0,1,0,0,0,0,0,0,0
es,AUX,0,2,0,1,1,0,0,0,1
Roja,PROPN,0,1,9,1,12,13,0,1,9
despide,VERB,0,1,0,0,0,0,0,0,0
canasta,NOUN,0,1,0,1,1,1,1,0,0
golosinas,NOUN,0,1,0,0,0,0,0,0,0
bosque,NOUN,0,1,0,0,4,1,1,1,0
encuentra,VERB,0,2,0,0,0,0,0,0,0
hay,VERB,0,2,0,0,0,0,0,0,0
ve,VERB,0,2,0,0,0,0,0,0,0
llega,VERB,0,1,0,0,0,0,0,0,0
antes,ADV,0,2,0,0,0,1,0,0,0
recoge,VERB,0,1,0,0,0,0,0,0,0
come,VERB,0,1,0,0,0,0,0,1,0
pueda,AUX,0,1,0,0,0,0,0,0,0
llegar,VERB,0,1,0,0,0,0,0,0,0
entra,VERB,0,3,0,0,0,0,0,0,0
saber,VERB,0,1,0,0,0,0,0,0,0
está,VERB,0,1,0,0,0,0,0,0,0
da,VERB,0,1,0,0,0,0,0,0,1
cuenta,NOUN,0,1,0,0,4,0,2,0,0
extraño,ADJ,0,1,0,0,0,0,0,0,0
qué,DET,0,2,0,0,0,0,0,0,0
orejas,NOUN,0,1,0,0,3,0,1,0,0
grandes,ADJ,0,1,0,0,3,0,0,0,0
tienes,VERB,0,2,0,0,1,0,1,0,0
sí,INTJ,0,1,0,2,0,0,0,0,0
es,VERB,0,2,0,0,0,0,0,0,0
escucharte,VERB,0,1,0,0,0,0,0,0,0
mejor,ADV,0,2,0,0,0,0,1,0,0
boca,NOUN,0,1,0,0,0,0,1,0,0
grande,ADJ,0,1,0,0,0,0,0,0,0
comerte,VERB,0,1,0,0,0,0,0,0,0
está,AUX,0,2,0,0,0,0,0,2,4
tiene,VERB,0,2,0,0,0,0,0,0,0
si,SCONJ,0,1,0,0,1,0,0,0,0
mata,VERB,0,3,0,0,0,0,0,0,0
todavía,ADV,0,1,0,0,1,0,0,0,0
vamos,VERB,0,1,0,0,0,0,0,0,0
ver,VERB,0,1,1,0,1,0,1,1,0
saca,VERB,0,1,0,0,0,0,0,0,0
guata,NOUN,0,3,0,0,0,0,0,0,0
sigue,VERB,0,1,0,0,0,0,0,0,0
engañarlo,VERB,0,1,0,0,0,0,0,0,0
ponen,VERB,0,1,0,0,0,0,0,0,0
cierran,VERB,0,1,0,0,0,0,0,0,0
yo,PRON,0,1,0,0,0,0,0,0,0
digo,VERB,0,1,0,0,0,0,0,0,0
