dejó,VERB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
las,DET,2,0,1,2,1,0,0,0,1,0,0,1,0,0,2,2,1,2,4,0,1,1
galletas,NOUN,1,1,0,0,1,0,1,0,0,0,0,0,1,0,2,1,0,0,2,2,2,0
mesa,NOUN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fue,VERB,3,0,1,1,1,1,2,0,0,3,0,2,2,0,1,1,0,0,2,0,0,1
donde,ADV,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estaba,VERB,1,0,1,0,2,2,2,0,0,0,0,0,3,0,1,1,1,1,2,1,3,0
pensando,VERB,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
era,AUX,2,2,2,2,1,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,2,4
al,ADP,4,3,5,2,1,2,5,1,3,2,0,1,1,0,1,2,1,1,4,2,3,5
ver,VERB,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
no,ADV,1,0,2,0,0,0,2,1,0,1,0,0,2,0,0,5,2,2,3,1,1,2
asustó,VERB,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
empezó,VERB,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
corretear,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lo,PRON,1,2,3,0,0,1,0,0,1,3,0,3,2,0,0,0,1,2,0,2,0,0
dormido,ADJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
porque,SCONJ,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,1
había,AUX,1,0,0,0,1,1,0,0,1,15,0,0,0,0,0,0,0,1,4,0,0,0
comido,VERB,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
cortaron,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salieron,VERB,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panza,NOUN,2,0,1,4,2,0,2,2,0,2,0,2,1,0,2,1,1,2,2,1,0,0
del,ADP,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
todos,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metió,VERB,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
piedras,ADJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adentro,ADV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
