word,category,146,136,150,104,107,111,129,135,145,153,126,108,140,130,125,133,143,139,149,148,138,142,132,127,131,141,109,115,103,144,134,122,106,128,110,105,113,137,147,151,121,154,217,207,211,218,212,219,213,206,210,334,303,341,331,329,324,316,338,328,315,332,319,337,310,322,317,339,325,340,302,335,307,320,323,330,326,336,301,314,416,424,422,419,415,418,420,425,417,414,421,423,504,512,518,507,511,508,514,502,517,501,516,515,503,509,510,505,513,613,612,619,609,602,601,610,605,611,604,608,618,607,622,614,615,623,617,621,620,616,726,715,701,719,717,703,706,705,711,710,704,722,725,724,721,709,708,720,718,723
the,DET,24,40,0,25,23,14,36,29,39,37,74,30,45,29,18,19,47,17,0,53,21,96,52,23,48,0,21,27,29,34,0,46,15,52,19,21,19,68,28,0,0,63,28,24,40,23,0,17,20,29,37,30,43,20,33,0,20,20,24,0,56,17,30,25,19,15,18,41,19,32,74,44,41,33,10,0,0,15,17,38,64,123,25,38,0,50,22,26,70,40,25,23,52,26,56,43,35,36,47,0,43,29,51,44,0,46,38,28,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
girl,NOUN,9,13,0,0,2,0,11,0,10,2,11,8,16,6,0,1,2,0,0,11,0,16,10,2,1,0,0,0,3,12,0,7,0,0,2,0,2,14,0,0,0,14,0,7,0,0,0,0,7,0,0,10,15,6,8,0,6,0,4,0,12,0,1,6,0,1,5,13,0,0,14,8,12,1,0,0,0,3,0,12,0,0,0,1,0,0,0,1,12,2,0,0,13,5,11,1,10,10,11,0,9,3,7,0,0,12,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
was,AUX,7,11,0,4,13,5,5,7,4,11,9,1,1,12,5,7,8,4,0,14,2,0,8,3,5,0,1,5,4,10,0,4,1,0,3,3,6,14,10,0,0,4,4,5,9,12,0,9,1,9,0,5,8,7,5,0,4,12,0,0,3,3,4,15,1,3,4,11,5,8,3,0,4,1,10,0,0,3,5,4,20,37,11,15,0,12,13,16,6,13,1,6,3,2,8,8,7,2,1,0,9,5,11,7,0,5,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
happy,ADJ,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,4,0,3,0,2,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,3,1,0,0,1,0,0,1,0,0,1,2,3,2,0,2,4,1,3,1,0,0,1,0,0,0,2,1,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
that,PRON,1,6,0,2,0,2,0,0,0,2,5,0,0,1,0,2,0,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,1,1,0,0,1,2,0,2,0,1,2,2,1,1,4,0,2,1,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0,1,3,2,5,0,0,0,1,1,1,0,1,0,0,0,0,2,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
because,SCONJ,2,0,0,0,0,0,3,0,0,1,1,0,0,1,1,1,0,0,0,1,2,0,1,0,1,0,0,1,0,1,0,0,0,0,2,1,0,0,3,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,2,3,1,5,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,12,1,2,0,0,0,1,1,1,0,0,0,2,1,2,1,2,0,0,1,0,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
she,PRON,3,6,0,1,13,8,3,1,2,15,2,1,0,4,4,10,4,7,0,19,0,0,1,4,9,0,9,7,4,8,0,6,8,1,3,2,0,11,14,0,0,6,7,8,7,7,0,1,0,0,3,1,6,1,7,0,5,6,3,0,16,12,10,11,2,3,2,1,1,6,10,7,0,0,6,0,0,6,0,1,7,19,2,11,0,18,17,13,2,18,0,6,1,4,5,7,5,2,1,0,4,7,0,18,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
got,VERB,1,2,0,0,0,4,2,0,0,3,0,2,4,2,0,0,1,1,0,3,0,0,0,3,3,0,0,0,1,0,0,3,2,0,3,1,0,3,0,0,0,1,2,3,2,4,0,0,0,0,0,2,1,2,2,0,0,3,1,0,0,0,1,3,0,1,0,2,2,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,2,0,0,4,0,0,0,1,0,1,1,1,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,DET,5,19,0,3,5,6,3,5,0,7,5,1,4,2,5,7,16,3,0,7,5,2,3,7,7,0,3,0,9,5,0,10,2,7,3,4,2,4,8,0,0,6,5,7,7,9,0,3,0,2,4,7,8,9,7,0,1,9,3,0,17,5,8,18,5,4,2,6,2,4,4,9,4,1,6,0,0,3,4,7,17,27,8,10,0,5,9,10,13,17,4,7,19,13,12,15,9,6,0,0,10,0,5,3,0,3,7,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
