and,CCONJ,5,21,0,44,25,32,20,11,15,39,16,8,6,20,11,24,36,19,0,46,26,26,12,21,19,0,13,14,10,13,0,22,4,16,21,15,1,21,33,1,0,26
continues,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walking,VERB,2,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0
house,NOUN,1,6,0,3,2,0,3,4,5,6,2,2,3,2,6,3,1,1,0,4,2,0,3,5,2,0,2,1,4,2,0,4,2,3,5,4,0,5,3,0,0,1
surprised,VERB,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ate,VERB,1,0,0,4,2,1,1,0,0,3,2,3,2,0,2,2,2,2,0,2,1,0,2,2,3,0,0,4,0,2,0,5,2,3,0,1,0,2,1,0,0,3
put,VERB,2,2,0,1,3,1,0,1,0,2,0,2,0,2,1,3,1,1,0,3,1,0,1,0,2,0,0,1,0,2,0,3,0,2,2,0,0,4,1,0,0,0
flowers,NOUN,1,4,0,2,3,0,2,1,0,3,1,1,2,2,1,2,2,3,0,2,2,0,2,1,2,0,2,1,2,1,0,3,0,1,0,2,0,2,6,0,0,3
on,ADP,1,3,0,1,2,2,0,0,0,11,1,0,0,0,0,0,3,0,0,1,1,0,0,3,0,0,2,0,2,0,0,3,0,2,2,0,0,1,2,0,0,5
table,NOUN,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
realizing,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unhuman,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
like,ADP,2,2,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,0,0,0,2
unhumanlike,ADJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
things,NOUN,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
about,ADP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1
big,ADJ,2,3,0,1,5,2,0,0,0,1,1,0,0,0,0,1,2,0,0,0,4,1,0,0,1,0,5,0,0,4,0,3,3,0,3,3,0,0,5,0,0,2
ears,NOUN,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
claws,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
eyes,NOUN,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
