word,category,150,107,129,135,145,140,130,125,139,149,126,143,133,136,146,104,111,148,138,131,141,103,144,134,106,128,108,113,151,121,122,110,105,147,137,132,142,109,127,115,217,207,212,211,218,213,206,219,210,512,507,502,517,504,508,514,501,511,516,503,513,510,505,515,509,613,612,619,609,602,601,610,605,611,604,608,618,607,622,614,615,623,617,621,620,616,726,715,701,719,717,703,706,705,711,710,704,722,725,724,721,709,708,720,718,723
un,DET,7,10,7,3,4,0,4,5,1,6,0,6,2,6,4,10,2,6,3,2,3,5,8,4,0,2,2,0,3,6,1,6,3,8,3,3,5,2,3,0,5,1,5,2,4,1,0,3,1,3,13,0,15,0,5,7,0,3,0,3,2,9,0,8,2,2,3,5,4,1,7,4,5,5,5,3,1,0,3,7,0,6,5,2,1,4,4,6,8,4,8,6,4,7,7,11,6,8,4,6,5,6,3,5,10,7
niña,NOUN,10,0,3,7,5,9,4,0,0,0,12,0,0,3,9,0,0,10,2,24,0,9,13,0,9,5,7,0,0,14,0,0,0,4,15,0,1,11,13,1,1,0,1,0,0,0,0,0,0,12,20,0,9,0,14,13,0,13,0,9,14,8,0,6,11,0,1,3,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,2,0,1,0,1,1,0,0,16,1,1,0,1,0,1,2,1,1,1,2,1
corriendo,VERB,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
el,DET,26,24,10,17,0,7,24,11,6,0,3,22,7,16,7,18,4,22,10,3,9,13,11,10,8,17,11,15,10,22,18,8,6,19,19,10,20,15,28,14,12,10,23,10,18,8,16,10,13,0,21,0,24,0,10,35,0,23,3,14,4,5,0,22,11,12,8,13,10,8,11,14,5,13,10,10,12,0,10,12,20,12,10,6,18,9,13,16,16,19,14,9,13,15,19,16,13,12,6,16,18,13,10,11,15,11
está,AUX,5,0,0,0,7,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,1,0,0,1,0,1,0,2,0,0,0,0,2,0,4,0,1,0,1,0,0,0,0,3,2,3,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llevando,VERB,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comida,NOUN,1,1,1,1,0,0,0,2,2,0,1,0,1,4,0,0,0,0,1,0,2,0,0,0,1,0,0,0,2,0,0,0,3,0,4,1,1,1,1,0,0,0,1,0,0,1,3,0,3,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,2,0,0,3,0,1,1,0,0,2,0
wolf,NOUN,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
molestando,VERB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
