mesa,NOUN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
simuló,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ser,AUX,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
acostó,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cama,NOUN,1,2,1,2,0,2,3,5,3,3,3,0,1,4,0,6,2,2,2,0
Caperucita,VERB,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acerca,VERB,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
realidad,NOUN,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
era,AUX,1,2,1,7,1,1,3,2,5,0,1,1,1,2,1,2,2,1,0,2
da,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuenta,NOUN,1,2,1,2,0,2,2,3,0,0,1,0,1,4,0,4,0,2,1,1
que,SCONJ,1,6,8,13,14,5,14,5,6,7,2,6,12,12,11,21,3,6,7,8
está,AUX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diferente,ADJ,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
asusta,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parecer,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
come,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ve,VERB,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
escena,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logra,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salvar,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
del,ADP,1,1,1,2,3,0,3,4,2,2,2,2,0,2,2,5,0,2,3,2
junto,ADJ,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0
llenan,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piedras,NOUN,1,1,1,1,1,1,1,1,2,3,0,1,0,2,2,0,0,1,2,0
despierta,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,ADV,1,4,0,5,1,2,4,2,3,0,0,0,7,7,4,4,0,0,4,2
puede,AUX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
más,ADV,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,0,0
peso,NOUN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cae,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dentro,ADV,1,0,0,1,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0
río,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
despiden,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
niña,NOUN,0,1,0,1,1,0,0,16,1,1,0,1,0,1,2,1,1,1,2,1
pelo,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rubio,ADJ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
amiga,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
animales,NOUN,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0
vivía,VERB,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,2,1
campo,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenía,VERB,0,1,4,0,4,1,0,1,4,1,0,0,0,1,2,0,3,0,0,1
gustaba,VERB,0,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,3,0,1
cocinar,VERB,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ella,PRON,0,1,1,2,1,3,5,1,1,3,2,1,4,0,1,3,2,2,3,2
por,ADP,0,2,1,0,0,2,2,5,5,3,1,3,3,1,1,4,3,2,4,0
lo,PRON,0,2,1,3,1,2,1,2,0,3,0,3,0,1,0,4,2,1,1,0
que,PRON,0,1,0,2,0,1,0,0,1,2,0,0,0,0,0,1,0,0,1,0
mandó,VERB,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
visitar,VERB,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
unas,DET,0,3,0,0,3,1,0,0,0,0,2,0,0,1,2,3,1,0,0,1
