he,PRON,4,19,7,12,0,6,7,2,3,9,1,1
now,ADV,1,0,1,0,0,0,1,0,1,0,0,0
up,ADV,5,1,3,2,0,0,2,1,0,3,0,1
big,ADJ,2,0,1,4,0,12,1,7,0,0,0,9
bad,ADJ,1,0,0,1,0,8,2,5,0,0,0,7
thought,VERB,1,0,0,1,0,0,0,1,0,2,0,0
plan,NOUN,1,1,0,0,0,0,0,0,0,1,0,0
eat,VERB,2,0,1,1,0,2,2,1,0,0,0,0
Red,PROPN,4,2,1,3,0,5,3,2,0,3,0,2
horrified,VERB,1,0,0,0,0,0,0,0,0,0,0,0
finished,VERB,1,0,0,0,0,0,0,0,0,0,0,0
bring,VERB,1,1,0,0,0,0,0,1,0,0,0,1
them,PRON,2,5,1,0,0,2,0,0,2,0,0,0
walks,VERB,2,0,0,0,0,0,0,0,0,0,0,0
into,ADP,1,1,0,3,0,0,2,0,1,1,0,0
home,NOUN,1,2,0,0,0,0,0,0,0,0,1,0
does,AUX,2,0,0,0,0,0,0,0,0,0,0,0
realize,VERB,3,1,0,0,0,0,0,0,0,0,0,0
been,AUX,1,2,0,0,0,0,0,0,0,2,0,0
replaced,VERB,1,0,0,0,0,0,0,0,0,0,0,0
by,ADP,2,9,0,2,0,2,2,0,0,2,0,1
She,PRON,1,0,0,0,0,0,0,0,0,0,0,0
set,VERB,1,2,1,1,0,0,0,0,0,0,0,0
drink,NOUN,2,0,0,1,0,0,0,0,0,1,0,0
cookies,NOUN,1,5,1,0,0,0,0,0,0,1,0,1
on,ADP,2,8,3,1,0,8,3,1,1,4,2,1
bedside,NOUN,2,0,0,0,0,0,0,0,0,0,0,0
table,NOUN,2,0,0,1,0,0,0,0,0,0,1,0
as,ADP,1,3,1,2,0,2,0,0,4,0,0,0
gesture,NOUN,1,0,0,0,0,0,0,0,0,0,0,0
goodwill,NOUN,1,0,0,0,0,0,0,0,0,0,0,0
mice,NOUN,1,5,0,0,0,0,1,0,1,0,1,0
underneath,ADP,1,0,0,0,0,0,0,0,1,0,0,0
grandma,NOUN,3,0,12,10,0,8,4,7,0,0,8,3
bed,NOUN,1,5,2,2,0,6,2,0,4,2,3,2
look,VERB,1,0,0,0,0,0,1,1,1,1,0,0
suspiciously,ADV,1,0,0,0,0,0,0,0,0,0,0,0
curiously,ADV,1,0,0,0,0,0,0,0,0,0,0,0
went,VERB,1,5,1,2,0,8,3,1,1,2,1,1
try,VERB,1,0,2,3,0,0,0,0,0,0,0,0
speak,VERB,2,0,0,0,0,0,0,0,0,0,0,0
able,ADJ,1,3,0,0,0,0,0,0,0,0,0,0
because,SCONJ,1,12,1,2,0,0,0,1,1,1,0,0
hiding,VERB,1,0,0,0,0,0,0,0,0,1,0,0
under,ADP,1,1,0,0,0,0,0,0,0,0,0,0
blankets,NOUN,1,0,0,1,0,0,0,0,0,0,0,0
disguise,VERB,1,0,0,0,0,0,0,0,1,0,0,0
that,CCONJ,1,2,0,1,0,0,1,0,0,0,0,0
would,AUX,3,7,1,1,0,2,6,0,0,3,0,0
keep,VERB,1,0,0,0,0,0,0,0,0,0,0,0
none,DET,1,0,0,0,0,0,0,0,0,0,0,0
wiser,ADJ,1,0,0,0,0,0,0,0,0,0,0,0
suprised,VERB,1,0,0,0,0,0,0,0,0,0,0,0
find,VERB,1,1,0,0,0,0,0,0,0,0,0,0
out,ADP,3,4,0,3,0,2,0,2,1,2,1,1
did,VERB,1,0,0,1,0,0,1,0,0,1,0,1
earlier,ADV,1,0,0,0,0,0,0,0,0,0,0,0
this,DET,1,7,0,1,0,0,4,0,0,0,0,0
time,NOUN,1,1,1,3,0,6,1,4,0,2,0,0
very,ADV,2,2,2,2,0,0,0,0,5,3,0,0
scared,ADJ,1,0,0,0,0,0,0,1,0,0,0,0
knocked,VERB,1,0,0,0,0,0,0,0,0,0,1,0
over,ADP,1,1,0,1,0,0,0,0,0,1,1,0
that,PRON,1,5,1,0,0,0,1,3,2,5,0,0
had,VERB,1,6,0,2,0,4,2,1,0,1,0,2
some,DET,1,3,3,0,0,2,3,0,2,2,0,1
picked,VERB,1,0,0,1,0,0,1,1,0,1,0,1
as,ADV,1,4,0,0,0,2,0,0,0,0,0,0
chased,VERB,1,1,0,0,0,0,0,0,0,0,0,0
eaten,VERB,1,0,1,0,0,0,0,1,2,0,0,0
satisified,ADJ,1,0,0,0,0,0,0,0,0,0,0,0
lay,VERB,1,1,0,0,0,2,0,0,0,0,0,0
down,ADV,1,0,0,1,0,0,0,0,0,1,0,0
nap,NOUN,3,0,0,1,0,0,0,0,1,0,0,0
after,ADP,1,3,0,1,0,0,1,1,0,1,0,1
such,DET,1,2,0,0,0,0,0,0,0,0,0,0
meal,NOUN,1,1,0,1,0,0,0,0,0,2,0,0
hearing,VERB,1,0,0,0,0,0,0,0,0,0,0,0
commotion,NOUN,1,1,0,1,0,0,0,0,0,0,0,0
local,ADJ,1,2,0,1,0,0,0,0,0,0,0,0
hunter,NOUN,7,7,0,5,0,0,0,0,0,4,6,3
his,PRON,5,11,4,3,0,2,2,1,2,3,1,3
dog,NOUN,3,5,1,0,0,0,1,0,2,1,3,0
come,VERB,1,1,0,0,0,0,0,0,0,0,0,0
check,VERB,1,0,0,0,0,2,0,0,0,1,0,0
making,VERB,1,0,0,0,0,0,0,0,0,0,0,0
all,DET,2,12,3,3,0,0,3,1,1,3,0,1
noise,NOUN,1,0,0,0,0,0,0,0,0,0,0,0
walked,VERB,1,2,0,0,0,2,2,0,0,1,0,2
in,ADV,2,5,4,0,0,0,0,0,0,2,0,1
after,SCONJ,1,1,0,0,0,0,1,0,1,0,0,1
eating,VERB,1,0,1,0,0,0,1,0,0,0,0,0
use,VERB,3,3,0,0,0,0,0,0,0,0,0,0
pair,NOUN,1,0,0,0,0,0,0,0,1,0,0,1
scissors,NOUN,1,1,0,0,0,0,0,0,1,0,0,1
cut,VERB,1,0,1,1,0,0,2,0,1,1,1,1
open,ADV,1,0,0,0,0,0,0,0,0,1,0,0
asleep,ADV,1,1,0,1,0,0,0,0,0,0,0,0
pulled,VERB,1,0,0,0,0,0,0,0,0,0,0,0
completely,ADV,1,0,0,0,0,0,0,0,0,0,0,0
unharmed,ADJ,1,0,0,0,0,0,0,0,0,0,0,0
they,PRON,2,6,7,4,0,6,6,5,4,6,1,0
celebrate,VERB,1,0,0,0,0,0,0,0,0,0,0,0
body,NOUN,1,0,0,0,0,0,0,0,0,0,0,0
slept,VERB,1,0,0,0,0,0,0,0,0,0,0,0
happy,ADJ,1,2,3,2,0,2,4,1,3,1,0,0
fill,VERB,1,0,0,0,0,0,0,0,1,0,0,0
stomach,NOUN,5,4,3,0,0,4,0,0,2,1,1,0
back,ADV,2,3,2,1,0,0,0,0,3,3,0,2
rocks,NOUN,4,0,2,2,0,2,0,0,2,4,1,2
sewing,NOUN,1,1,0,0,0,0,0,0,0,0,0,0
skills,NOUN,2,0,0,0,0,0,0,0,0,0,0,0
their,PRON,1,1,0,0,0,4,0,0,2,0,0,0
gathering,NOUN,1,0,0,0,0,0,0,0,0,0,0,0
gathered,VERB,1,0,0,1,0,0,0,0,0,0,0,0
bunch,NOUN,1,0,0,1,0,0,1,0,1,1,0,0
filled,VERB,2,0,1,0,0,0,1,1,0,1,0,0
prepared,VERB,1,0,0,0,0,0,0,0,0,0,0,0
stitch,VERB,1,0,0,0,0,0,0,0,0,0,0,0
closed,VERB,1,0,0,0,0,0,0,0,0,0,0,0
wakes,VERB,1,0,0,0,0,0,0,0,0,0,0,0
up,ADP,1,9,2,2,0,0,3,0,1,3,1,0
from,ADP,1,8,1,2,0,4,0,0,3,3,0,0
looking,VERB,1,1,0,0,0,0,0,0,2,0,0,0
the,ADV,1,0,0,0,0,0,0,0,0,0,0,0
well,ADV,1,2,0,2,0,3,3,1,1,3,0,0
promptly,ADV,1,0,0,2,0,0,0,0,0,0,0,0
fell,VERB,1,0,0,2,0,0,0,0,0,1,0,0
due,ADP,1,0,0,0,0,0,0,0,0,0,0,0
large,ADJ,1,0,0,0,0,0,0,0,0,0,0,0
amount,NOUN,1,0,0,0,0,0,0,0,0,0,0,0
struggled,VERB,1,0,0,0,0,0,0,0,0,0,0,0
stay,VERB,1,0,0,0,0,0,0,0,0,0,0,0
afloat,ADV,1,0,0,0,0,0,0,0,0,0,0,0
little,ADJ,2,6,3,2,0,0,0,3,8,2,0,0
watched,VERB,1,0,0,1,0,0,0,0,2,0,6,0
glee,NOUN,1,1,0,0,0,0,0,0,0,0,0,0
once,ADV,1,0,0,2,0,0,2,1,0,2,0,0
drowned,VERB,1,0,0,1,0,0,0,0,0,0,0,0
leave,VERB,1,1,0,0,0,0,1,0,0,0,0,0
wished,VERB,1,0,0,0,0,0,0,0,0,0,0,0
farewell,ADV,1,0,0,0,0,0,0,0,0,0,0,0
There,PRON,0,1,0,0,0,0,0,0,0,1,0,0
is,VERB,0,3,0,0,0,0,0,0,0,0,0,0
birthday,NOUN,0,1,1,1,0,0,0,0,0,0,0,0
cake,NOUN,0,1,1,0,0,0,1,1,0,0,0,0
with,SCONJ,0,1,0,0,0,1,0,0,0,0,0,0
candle,NOUN,0,1,0,0,0,0,2,0,0,0,1,0
which,PRON,0,10,0,0,0,0,0,0,0,0,0,0
chapter,NOUN,0,1,0,0,0,0,0,0,0,0,0,0
one,NUM,0,1,0,1,0,0,5,0,0,1,0,0
given,VERB,0,1,0,0,0,0,0,0,0,0,0,0
cape,NOUN,0,4,0,2,0,0,0,0,0,2,0,0
admired,VERB,0,1,0,0,0,0,0,0,0,0,0,0
greatly,ADV,0,1,0,0,0,0,0,0,0,0,0,0
