eat,VERB,1,3,1,3,0,3,1,3,0,0,1,2,1,2,1,2,2,3,1,1,5,0,1,2,0,0,0,0,0
grandma,NOUN,5,4,7,0,0,8,9,4,0,10,6,12,0,1,9,0,4,6,1,11,6,0,7,4,0,0,1,7,0
red,ADJ,4,1,0,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1
hood,NOUN,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1
putting,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
flowers,NOUN,1,0,0,2,0,0,2,1,0,0,1,0,1,1,3,0,0,2,2,0,1,0,0,2,0,0,0,2,2
desk,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
cookies,NOUN,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
water,NOUN,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0
actually,ADV,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
checking,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
up,ADP,1,0,1,1,0,0,1,0,0,3,2,4,1,0,0,0,1,1,0,2,0,1,0,1,0,0,0,0,1
which,PRON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
jumps,VERB,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
at,ADP,2,0,1,4,0,0,0,0,0,1,4,0,2,0,0,1,2,0,0,3,1,0,0,0,0,0,1,0,1
scares,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
did,VERB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scare,VERB,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
man,NOUN,3,0,0,0,0,0,0,4,0,0,0,1,2,0,1,0,0,0,0,2,4,0,1,0,0,0,0,4,0
his,PRON,1,0,1,1,0,0,3,0,0,1,0,0,3,4,0,0,1,0,2,2,5,0,0,3,0,0,0,2,1
