word,frequency,language
okay,1,eng
so,10,eng
this,1,eng
is,2,eng
a,18,eng
story,1,eng
about,3,eng
little,15,eng
girl,13,eng
who,1,eng
went,6,eng
to,17,eng
his,2,eng
grandmother,9,eng
give,2,eng
her,14,eng
food,5,eng
one,1,eng
morning,1,eng
the,40,eng
woke,3,eng
up,7,eng
and,20,eng
mother,1,eng
asked,2,eng
take,1,eng
for,4,eng
that,9,eng
it,2,eng
was,12,eng
tradition,1,eng
family,1,eng
had,3,eng
really,2,eng
long,1,eng
time,1,eng
bringing,1,eng
grandmothers,1,eng
or,1,eng
grandparents,1,eng
they,4,eng
could,4,eng
eat,2,eng
every,1,eng
weekend,1,eng
oh,1,eng
walking,2,eng
big,3,eng
wolf,9,eng
of,7,eng
came,2,eng
like,3,eng
smell,1,eng
going,1,eng
he,11,eng
sneak,1,eng
behind,1,eng
but,4,eng
before,3,eng
do,2,eng
anything,2,eng
cut,1,eng
trees,1,eng
stopped,1,eng
him,1,eng
whiler,1,eng
third,2,eng
man,2,eng
told,1,eng
get,1,eng
away,1,eng
from,1,eng
got,3,eng
distracted,1,eng
by,2,eng
flowers,4,eng
an,2,eng
idea,2,eng
giving,1,eng
picking,2,eng
place,1,eng
there,1,eng
knock,1,eng
on,3,eng
door,2,eng
tried,1,eng
grandma,2,eng
successfully,1,eng
escaped,1,eng
out,5,eng
house,6,eng
waited,3,eng
enter,1,eng
hiding,1,eng
put,2,eng
plate,1,eng
jar,1,eng
choosing,1,eng
realized,1,eng
looked,1,eng
kind,1,eng
different,1,eng
bit,1,eng
surpised,1,eng
started,2,eng
asking,1,eng
questions,1,eng
why,2,eng
did,1,eng
look,1,eng
noticed,1,eng
something,1,eng
mouth,1,eng
all,1,eng
sudden,1,eng
jumped,1,eng
bed,2,eng
eated,1,eng
alive,1,eng
guy,1,eng
saw,1,eng
windows,1,eng
open,3,eng
decided,1,eng
go,1,eng
when,1,eng
found,1,eng
with,2,eng
stomach,3,eng
laying,1,eng
grabbed,1,eng
scissors,1,eng
well,1,eng
back,1,eng
see,1,eng
if,1,eng
putting,1,eng
rocks,1,eng
sew,1,eng
until,1,eng
thirsty,2,eng
pond,2,eng
pick,1,eng
some,1,eng
water,2,eng
fell,1,eng
into,1,eng
drowned,1,eng
happily,1,eng
ever,1,eng
after,1,eng
lived,1,eng
