word,frequency,language
un,6,spa
día,1,spa
la,23,spa
Caperucita,16,spa
y,23,spa
su,5,spa
mamá,2,spa
hicieron,1,spa
galletas,3,spa
entonces,5,spa
agarró,4,spa
una,1,spa
canasta,2,spa
le,5,spa
dijo,8,spa
a,13,spa
tráele,1,spa
esto,1,spa
tu,1,spa
abuelita,6,spa
después,14,spa
de,5,spa
las,4,spa
se,6,spa
fue,3,spa
al,3,spa
bosque,2,spa
casa,3,spa
había,1,spa
lobo,8,spa
que,3,spa
tenía,4,spa
mucha,2,spa
hambre,2,spa
el,5,spa
plan,2,spa
Rosa,1,spa
qué,4,spa
estás,1,spa
haciendo,1,spa
aquí,1,spa
dónde,1,spa
vas,1,spa
yo,4,spa
voy,3,spa
llevar,1,spa
eso,1,spa
para,2,spa
mi,1,spa
caminó,2,spa
ir,1,spa
me,1,spa
comer,2,spa
llegó,1,spa
todas,1,spa
cosas,1,spa
gorro,1,spa
sus,1,spa
lentes,1,spa
pijama,1,spa
los,1,spa
lo,1,spa
puso,3,spa
en,2,spa
lado,1,spa
no,2,spa
dé,1,spa
cuenta,1,spa
está,1,spa
ahí,2,spa
estaba,3,spa
galletitas,1,spa
mesa,1,spa
por,3,spa
tienes,3,spa
ojos,1,spa
bien,3,spa
grandes,2,spa
boca,1,spa
grande,1,spa
oídos,1,spa
porque,1,spa
te,1,spa
quiero,1,spa
corrió,1,spa
sé,1,spa
si,1,spa
comió,1,spa
pero,1,spa
cazador,1,spa
vino,1,spa
vio,1,spa
rescató,1,spa
abuela,1,spa
okay,1,eng
