word,frequency,language
so,2,eng
the,17,eng
mother,1,eng
then,16,eng
told,2,eng
Little,4,eng
Red,4,eng
Riding,4,eng
Hood,4,eng
to,12,eng
take,1,eng
a,3,eng
little,2,eng
cake,2,eng
her,9,eng
grandma,6,eng
and,19,eng
all,6,eng
birds,1,eng
were,2,eng
singing,1,eng
she,6,eng
grabbed,1,eng
basket,1,eng
with,1,eng
some,2,eng
more,1,eng
fruit,1,eng
goodies,2,eng
took,1,eng
it,1,eng
said,3,eng
bye,2,eng
mom,1,eng
came,3,eng
wolf,7,eng
while,3,eng
was,5,eng
walking,1,eng
trying,3,eng
scare,2,eng
critters,1,eng
watching,1,eng
he,4,eng
there,1,eng
hunter,2,eng
kill,1,eng
him,2,eng
pick,1,eng
flowers,3,eng
for,1,eng
too,1,eng
okay,1,eng
started,4,eng
do,1,eng
that,3,eng
busy,1,eng
picking,1,eng
went,1,eng
house,1,eng
ate,2,eng
put,1,eng
had,2,eng
brought,1,eng
noticed,2,eng
something,1,eng
strange,1,eng
asking,1,eng
questions,1,eng
scared,1,eng
eaten,1,eng
got,1,eng
them,1,eng
out,1,eng
who,1,eng
knows,1,eng
how,1,eng
they,5,eng
lived,1,eng
happily,1,eng
ever,1,eng
after,1,eng
stuffing,1,eng
rocks,1,eng
in,1,eng
stomach,1,eng
sewed,1,eng
back,1,eng
up,1,eng
laughing,1,eng
thanked,1,eng
each,1,eng
other,1,eng
