word,frequency,language
Red,15,eng
Riding,15,eng
Hood,12,eng
by,1,eng
Charles,1,eng
Perrault,1,eng
Little,14,eng
is,2,eng
at,3,eng
her,10,eng
house,3,eng
or,2,eng
like,6,eng
celebrating,1,eng
something,1,eng
the,17,eng
cake,1,eng
went,2,eng
to,5,eng
left,1,eng
mother,1,eng
with,1,eng
a,1,eng
basket,1,eng
of,1,eng
food,2,eng
and,13,eng
drinks,1,eng
wolf,8,eng
eat,4,eng
wanted,1,eng
got,2,eng
before,1,eng
she,1,eng
did,2,eng
had,2,eng
eaten,1,eng
grandma,5,eng
made,1,eng
put,2,eng
out,2,eng
flowers,1,eng
looked,1,eng
realized,1,eng
it,3,eng
try,1,eng
tried,2,eng
i,1,eng
think,1,eng
he,7,eng
ate,3,eng
wait,5,eng
no,2,eng
oh,1,eng
nevermind,1,eng
hunter,4,eng
his,2,eng
dog,3,eng
found,1,eng
that,2,eng
cut,1,eng
open,1,eng
belly,2,eng
let,1,eng
stones,1,eng
into,1,eng
then,1,eng
sewed,1,eng
up,1,eng
now,1,eng
thought,2,eng
still,1,eng
but,1,eng
really,1,eng
laughing,1,eng
him,1,eng
home,1,eng
saying,1,eng
bye,1,eng
