word,frequency,language
eh,1,eng
The,7,eng
Little,1,eng
riding,1,eng
hood,1,eng
was,7,eng
visiting,1,eng
her,4,eng
grandmother,3,eng
Red,7,eng
Riding,7,eng
Hood,7,eng
saying,1,eng
bye,2,eng
to,7,eng
mom,1,eng
throat,4,eng
being,1,eng
followed,1,eng
by,1,eng
the,29,eng
wolf,12,eng
and,11,eng
a,5,eng
man,3,eng
with,4,eng
an,1,eng
axe,1,eng
yeah,2,eng
he,2,eng
trying,1,eng
attack,1,eng
getting,1,eng
in,6,eng
house,4,eng
eat,1,eng
of,5,eng
get,4,eng
bed,4,eng
cover,1,eng
his,1,eng
body,1,eng
when,2,eng
putting,1,eng
flowers,1,eng
glass,1,eng
she,1,eng
go,3,eng
but,2,eng
jumped,1,eng
off,1,eng
scared,1,eng
taking,1,eng
nap,1,eng
then,1,eng
gun,1,eng
dog,1,eng
see,1,eng
all,1,eng
disorganized,1,eng
cut,1,eng
stomach,2,eng
scissors,1,eng
out,1,eng
three,1,eng
them,1,eng
put,1,eng
rocks,1,eng
inside,1,eng
help,1,eng
wake,1,eng
up,1,eng
drink,1,eng
water,1,eng
fell,1,eng
said,1,eng
grandma,1,eng
their,1,eng
houses,1,eng
