word,frequency,language
Little,7,eng
Red,7,eng
Riding,7,eng
Hood,7,eng
by,1,eng
Charles,1,eng
Perrault,1,eng
danced,1,eng
for,1,eng
her,5,eng
grandma,1,eng
the,14,eng
little,2,eng
girl,2,eng
waved,1,eng
bye,1,eng
to,6,eng
mother,1,eng
wolf,7,eng
tried,1,eng
scare,1,eng
walked,2,eng
up,1,eng
door,1,eng
attacked,1,eng
grandmother,4,eng
was,6,eng
not,3,eng
aware,1,eng
that,3,eng
curious,1,eng
i,1,eng
think,1,eng
had,1,eng
jumped,1,eng
at,2,eng
full,2,eng
hunter,2,eng
went,1,eng
go,1,eng
see,1,eng
what,1,eng
happening,1,eng
helped,1,eng
and,1,eng
a,1,eng
sure,1,eng
how,1,eng
explain,1,eng
this,1,eng
picture,1,eng
feeding,1,eng
or,1,eng
they,2,eng
fed,1,eng
look,1,eng
like,1,eng
rocks,1,eng
end,1,eng
m,1,eng
he,1,eng
waived,1,eng
goodbye,1,eng
