word,frequency,language
un,8,spa
día,1,spa
la,5,spa
mamá,1,spa
de,3,spa
caperucita,13,spa
roja,13,spa
le,6,spa
a,4,spa
que,10,spa
su,5,spa
abuela,4,spa
está,7,spa
enfermo,1,spa
y,30,spa
da,1,spa
como,7,spa
tarta,3,spa
hablando,1,spa
con,4,spa
quiere,1,spa
o,1,spa
pidiendo,1,spa
hace,1,spa
para,2,spa
varias,1,spa
cosas,1,spa
tiene,1,spa
el,14,spa
mama,1,spa
dicho,1,spa
pero,3,spa
luego,11,spa
hay,2,spa
lobo,11,spa
intentando,1,spa
comer,1,spa
alguien,1,spa
detras,1,spa
hacha,1,spa
él,1,spa
va,2,spa
cortar,1,spa
no,2,spa
sé,1,spa
cojiendo,1,spa
flores,2,spa
casa,1,spa
abuelita,4,spa
ahora,1,spa
comiendo,1,spa
piensa,1,spa
es,1,spa
así,1,spa
los,2,spa
agua,1,spa
lo,3,spa
puso,1,spa
okay,1,spa
dice,2,spa
ha,1,spa
comido,1,spa
del,1,spa
sale,1,spa
dormiendo,1,spa
perro,1,spa
rotas,1,spa
están,1,spa
al,1,spa
puede,1,spa
caminar,1,spa
cae,1,spa
en,1,spa
dicen,1,spa
adiós,1,spa
basket,1,eng
talk,1,eng
to,1,eng
any,1,eng
strangers,1,eng
what,1,eng
how,1,eng
long,1,eng
ears,1,eng
you,2,eng
have,1,eng
so,1,eng
I,1,eng
can,1,eng
hear,1,eng
better,1,eng
wolf,1,eng
jumps,1,eng
out,1,eng
of,1,eng
bed,1,eng
scares,1,eng
and,1,eng
runs,1,eng
away,1,eng
feeding,1,eng
well,1,eng
