word,frequency,language
one,2,eng
day,3,eng
the,58,eng
grandma,11,eng
made,1,eng
a,4,eng
cake,1,eng
and,20,eng
girl,14,eng
was,12,eng
happy,2,eng
then,16,eng
she,11,eng
left,1,eng
to,18,eng
go,1,eng
home,3,eng
two,1,eng
of,3,eng
three,1,eng
birds,3,eng
were,2,eng
watching,2,eng
her,13,eng
as,6,eng
danced,1,eng
they,6,eng
noticed,6,eng
something,2,eng
outside,6,eng
next,1,eng
at,1,eng
mome,1,eng
said,1,eng
bring,2,eng
some,2,eng
food,4,eng
for,2,eng
little,9,eng
went,4,eng
going,1,eng
house,4,eng
give,1,eng
those,1,eng
things,1,eng
that,12,eng
saw,2,eng
about,2,eng
ago,2,eng
wolf,14,eng
wanted,4,eng
eat,6,eng
when,5,eng
man,3,eng
behind,1,eng
capture,3,eng
him,2,eng
so,8,eng
he,14,eng
hurt,2,eng
even,1,eng
notice,3,eng
just,5,eng
fell,2,eng
down,1,eng
remember,1,eng
should,1,eng
flowers,2,eng
what,2,eng
in,8,eng
mind,1,eng
meeting,1,eng
with,2,eng
now,1,eng
person,1,eng
inside,1,eng
can,2,eng
is,1,eng
dressed,1,eng
up,3,eng
also,1,eng
came,2,eng
put,3,eng
picked,1,eng
walking,2,eng
on,1,eng
table,1,eng
odd,1,eng
got,3,eng
nervous,1,eng
handle,1,eng
it,5,eng
anymore,1,eng
jumped,1,eng
out,6,eng
bed,1,eng
running,3,eng
trying,1,eng
while,1,eng
see,1,eng
why,1,eng
same,1,eng
had,1,eng
plan,1,eng
ate,2,eng
scissors,1,eng
open,2,eng
cut,1,eng
get,2,eng
woman,1,eng
stll,1,eng
asleep,1,eng
want,1,eng
took,1,eng
rocks,1,eng
belly,2,eng
escaped,1,eng
ran,2,eng
woke,1,eng
felt,1,eng
extra,1,eng
heavy,1,eng
spit,1,eng
all,2,eng
weight,1,eng
his,1,eng
flopped,1,eng
over,1,eng
well,1,eng
promised,1,eng
would,3,eng
make,2,eng
sure,2,eng
safely,1,eng
