word,frequency,language
the,32,eng
grandma,7,eng
for,3,eng
is,9,eng
happy,4,eng
to,9,eng
her,10,eng
say,2,eng
bye,1,eng
mom,1,eng
and,16,eng
wolf,12,eng
so,2,eng
very,1,eng
hungry,1,eng
he,9,eng
wanna,5,eng
want,5,eng
eat,4,eng
stay,2,eng
in,5,eng
house,1,eng
waiting,1,eng
then,3,eng
she,3,eng
prepare,1,eng
food,3,eng
but,2,eng
bed,2,eng
pretend,2,eng
as,1,eng
when,1,eng
tried,1,eng
talk,1,eng
put,2,eng
a,3,eng
blanket,1,eng
hat,1,eng
try,1,eng
kill,1,eng
all,2,eng
with,2,eng
bring,1,eng
too,1,eng
sleeping,2,eng
rocks,1,eng
stomach,2,eng
trying,1,eng
think,1,eng
grandmas,1,eng
see,1,eng
after,1,eng
that,1,eng
goodbye,1,eng
left,1,eng
caperucita,11,spa
roja,11,spa
cazador,6,spa
