word,frequency,language
Caperucita,11,spa
Roja,10,spa
visitó,1,spa
a,10,spa
su,8,spa
abuela,5,spa
fue,3,spa
caminando,1,spa
fuera,1,spa
de,10,spa
casa,3,spa
un,2,spa
lobo,9,spa
la,8,spa
siguió,1,spa
entró,3,spa
en,4,spa
y,9,spa
el,10,spa
también,1,spa
se,5,spa
comió,2,spa
abuelita,1,spa
le,2,spa
trajo,2,spa
flores,1,spa
no,1,spa
sabía,1,spa
que,1,spa
estaba,1,spa
cama,3,spa
ver,1,spa
salió,1,spa
espantó,1,spa
hombre,3,spa
por,3,spa
puerta,1,spa
tratar,1,spa
ayudarla,1,spa
mató,1,spa
al,2,spa
sacó,1,spa
estómago,2,spa
llenó,1,spa
piedras,2,spa
afuera,1,spa
lleno,1,spa
mientras,1,spa
ellos,1,spa
rieron,1,spa
él,1,spa
despidió,1,spa
regresó,1,spa
campo,1,spa
cuidada,1,spa
señor,1,spa
fin,1,spa
okay,1,eng
