word,frequency,language
este,1,spa
es,1,spa
el,16,spa
cuento,1,spa
de,13,spa
Caperucita,13,spa
Roja,1,spa
Charles,1,spa
Perrault,1,spa
tenía,3,spa
una,4,spa
abuelita,10,spa
vivía,1,spa
con,4,spa
su,9,spa
en,9,spa
casa,6,spa
y,37,spa
un,3,spa
día,1,spa
ella,3,spa
salió,3,spa
la,22,spa
mamá,1,spa
llevaba,1,spa
canasta,1,spa
panes,1,spa
botella,1,spa
camino,1,spa
había,4,spa
lobo,15,spa
que,8,spa
estaba,6,spa
muy,1,spa
hambriento,1,spa
se,8,spa
quería,3,spa
comer,2,spa
persona,1,spa
matar,1,spa
al,2,spa
luego,5,spa
a,7,spa
recogió,1,spa
unas,2,spa
flores,2,spa
para,1,spa
llevarlas,1,spa
llegó,2,spa
iba,1,spa
detrás,1,spa
entró,3,spa
quiso,2,spa
puso,2,spa
las,3,spa
recogido,1,spa
florero,1,spa
vino,2,spa
agua,2,spa
galletas,1,spa
mientras,1,spa
tanto,1,spa
dentro,2,spa
cama,4,spa
entonces,4,spa
pensaba,1,spa
era,2,spa
pero,2,spa
realidad,1,spa
comerse,1,spa
también,1,spa
solo,1,spa
escaparse,1,spa
eso,1,spa
leñador,4,spa
vio,1,spa
adentro,1,spa
panza,3,spa
del,4,spa
alguien,1,spa
pudo,1,spa
cortar,1,spa
ahí,1,spa
salieron,1,spa
abuela,1,spa
piedras,2,spa
quisieron,1,spa
meterlas,1,spa
estómago,2,spa
sacó,1,spa
hilo,1,spa
aguja,1,spa
sí,3,spa
ahora,1,spa
no,1,spa
podía,1,spa
caminar,1,spa
veo,1,spa
toda,1,spa
gente,1,spa
riendo,2,spa
estaban,1,spa
fue,2,spa
porque,1,spa
buscando,1,spa
tomar,1,spa
quedó,1,spa
okay,2,eng
did,1,eng
it,1,eng
freeze,1,eng
oh,1,eng
