word,frequency,language
uhm,1,spa
Little,12,spa
Red,13,spa
Riding,13,spa
Hood,12,spa
was,9,spa
excited,2,spa
and,15,spa
prancing,2,spa
around,2,spa
maybe,1,spa
even,1,spa
dancing,1,spa
for,4,spa
her,13,spa
grandma,5,spa
who,1,spa
had,7,spa
clapped,1,spa
left,1,spa
home,2,spa
waved,2,spa
goodbye,2,spa
to,6,spa
mother,1,spa
with,5,spa
the,15,spa
basket,1,spa
in,7,spa
hand,1,spa
treats,1,spa
grapes,1,spa
a,3,spa
bottle,1,spa
of,5,spa
soft,1,spa
drink,1,spa
walked,2,spa
through,1,spa
forest,2,spa
startled,1,spa
there,1,spa
were,4,spa
plenty,1,spa
animals,1,spa
wolf,6,spa
gotten,1,spa
ahead,1,spa
little,1,spa
red,1,spa
riding,1,spa
hood,1,spa
went,1,spa
house,2,spa
while,1,spa
picked,1,spa
flowers,2,spa
planned,1,spa
eat,1,spa
arrived,1,spa
at,2,spa
she,1,spa
put,2,spa
vase,1,spa
water,1,spa
glass,1,spa
set,1,spa
out,2,spa
cookies,1,spa
surprised,2,spa
that,3,spa
laying,1,spa
bed,1,spa
scared,1,spa
trying,1,spa
get,1,spa
eaten,1,spa
by,2,spa
throat,1,spa
but,1,spa
hunter,1,spa
came,1,spa
brought,1,spa
his,2,spa
him,3,spa
or,1,spa
rifle,1,spa
dog,1,spa
help,1,spa
save,1,spa
them,1,spa
grandmother,3,spa
saved,1,spa
this,1,spa
man,2,spa
taken,1,spa
stomach,1,spa
grabbed,1,spa
some,1,spa
rocks,2,spa
inside,1,spa
so,1,spa
they,2,spa
could,1,spa
sink,1,spa
laughed,1,spa
when,1,spa
he,1,spa
belly,1,spa
full,1,spa
Litle,1,spa
as,1,spa
leaving,1,spa
