word,frequency,language
era,5,spa
una,2,spa
vez,1,spa
Caperucita,10,spa
Roja,7,spa
a,17,spa
su,10,spa
abuelita,8,spa
y,15,spa
le,2,spa
gustaba,1,spa
hacer,1,spa
pasteles,1,spa
para,3,spa
que,7,spa
coman,1,spa
en,3,spa
familia,1,spa
un,4,spa
día,1,spa
iba,2,spa
ir,2,spa
visitar,1,spa
abuela,2,spa
llevaba,1,spa
canasta,1,spa
de,5,spa
pan,1,spa
vino,1,spa
uvas,1,spa
el,11,spa
lobo,8,spa
vio,1,spa
por,2,spa
bosque,1,spa
leñador,4,spa
se,6,spa
detenió,1,spa
recoger,1,spa
unas,1,spa
flores,2,spa
mientras,2,spa
aprovechó,1,spa
casa,3,spa
fingiera,1,spa
la,8,spa
espantó,2,spa
encerró,1,spa
ponía,1,spa
las,3,spa
estaba,1,spa
ahí,1,spa
acostado,1,spa
cama,1,spa
fingiendo,1,spa
arroja,1,spa
dice,1,spa
oh,1,spa
qué,2,spa
ojos,1,spa
grandes,1,spa
tienes,1,spa
levantó,1,spa
empezó,1,spa
correr,1,spa
llegó,1,spa
con,1,spa
perro,1,spa
viendo,1,spa
había,2,spa
mucho,1,spa
escándalo,1,spa
ver,1,spa
comido,1,spa
cortó,1,spa
al,3,spa
mitad,1,spa
sacó,1,spa
ellas,1,spa
dijeron,1,spa
gracias,1,spa
fueron,2,spa
buscar,1,spa
piedras,1,spa
rellenarlo,1,spa
botarlo,1,spa
agua,2,spa
lo,1,spa
botar,1,spa
llevó,1,spa
despidió,1,spa
fin,1,spa
closet,1,eng
