word,frequency,language
caperucita,6,spa
era,2,spa
una,1,spa
niña,1,spa
que,5,spa
vivía,1,spa
en,6,spa
el,12,spa
bosque,1,spa
su,5,spa
abuela,1,spa
cumplía,1,spa
años,1,spa
un,6,spa
día,1,spa
mama,1,spa
le,5,spa
dijo,1,spa
llevar,1,spa
a,5,spa
comer,2,spa
abuelita,6,spa
pero,2,spa
camino,1,spa
lobo,11,spa
estaba,3,spa
destrás,1,spa
de,2,spa
ella,1,spa
y,12,spa
había,1,spa
cazado,1,spa
entonces,3,spa
roja,2,spa
se,8,spa
cortar,1,spa
flores,2,spa
para,2,spa
adelantó,1,spa
iba,1,spa
la,12,spa
luego,7,spa
llegó,2,spa
les,1,spa
puso,1,spa
las,2,spa
agua,1,spa
cama,1,spa
vestida,1,spa
como,1,spa
abuelite,1,spa
vio,2,spa
tenía,1,spa
unos,1,spa
grandes,3,spa
ojos,1,spa
unas,2,spa
orejas,1,spa
manos,1,spa
asustó,1,spa
alguien,1,spa
cazador,3,spa
con,3,spa
perro,2,spa
matar,1,spa
al,1,spa
sacarle,1,spa
lo,1,spa
comida,1,spa
sacó,1,spa
panza,3,spa
tijeras,1,spa
metieron,1,spa
piedras,2,spa
mientras,1,spa
durmiendo,1,spa
escondieron,1,spa
vieron,1,spa
salir,1,spa
dolía,1,spa
fue,1,spa
dentro,1,spa
del,1,spa
perrito,1,spa
fueron,1,spa
queda,1,spa
casa,1,spa
