language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
spa,136,520,6.925,75.086,160,474,0.338,0,0,0,160,474,0.338,46,11.304
spa,146,182,7.05,25.816,75,151,0.497,2,2,1.0,73,149,0.483,31,5.871
spa,104,390,4.774,81.685,116,331,0.35,27,28,0.964,89,303,0.269,59,6.61
eng,129,253,3.343,75.686,96,244,0.393,96,244,0.393,0,0,0.0,9,28.111
spa,111,139,1.419,97.928,60,124,0.484,0,0,0,60,124,0.484,15,9.267
eng,107,338,3.684,91.745,125,329,0.38,125,329,0.38,0,0,0.0,9,37.556
eng,140,121,2.006,60.329,53,111,0.477,53,111,0.477,0,0,0.0,10,12.1
eng,145,247,3.717,66.457,104,245,0.424,104,245,0.424,0,0,0.0,2,123.5
eng,135,233,2.834,82.229,88,222,0.396,88,222,0.396,0,0,0.0,11,21.182
spa,148,424,6.238,67.969,104,356,0.292,0,0,0,104,356,0.292,68,6.235
spa,138,266,4.786,55.583,88,247,0.356,0,0,0,88,247,0.356,19,14.0
eng,132,301,6.347,47.42,76,267,0.285,76,267,0.285,0,0,0.0,34,8.853
eng,127,231,4.25,54.353,77,207,0.372,77,207,0.372,0,0,0.0,24,9.625
spa,131,699,8.747,79.914,130,541,0.24,25,39,0.641,106,502,0.196,158,4.424
spa,141,212,4.135,51.269,84,210,0.4,0,0,0,84,210,0.4,2,106.0
eng,109,259,2.8,92.5,102,251,0.406,102,251,0.406,0,0,0.0,8,32.375
eng,115,342,4.119,83.034,76,277,0.274,76,277,0.274,0,0,0.0,65,5.262
spa,103,284,4.638,61.232,92,254,0.362,1,1,1.0,91,253,0.358,30,9.467
spa,144,299,4.265,70.113,105,274,0.383,0,0,0,105,274,0.383,25,11.96
spa,134,344,5.334,64.493,91,290,0.314,1,1,1.0,90,289,0.31,54,6.37
eng,122,323,3.938,82.025,84,277,0.303,84,277,0.303,0,0,0.0,46,7.022
spa,106,234,4.922,47.538,70,188,0.372,1,11,0.091,69,177,0.367,46,5.087
spa,128,284,6.35,44.724,79,240,0.329,0,0,0,79,240,0.329,44,6.455
eng,110,329,2.867,114.767,95,295,0.322,95,295,0.322,0,0,0.0,34,9.676
eng,105,288,3.654,78.815,93,267,0.348,93,267,0.348,0,0,0.0,21,13.714
spa,108,289,3.675,78.649,88,271,0.325,3,6,0.5,85,265,0.314,18,16.056
spa,113,207,8.202,25.237,62,152,0.408,18,30,0.6,41,122,0.27,55,3.764
eng,137,607,5.552,109.326,144,538,0.268,144,538,0.268,0,0,0.0,69,8.797
eng,147,606,5.683,106.628,190,562,0.338,190,562,0.338,0,0,0.0,44,13.773
spa,151,314,6.242,50.306,106,297,0.357,3,3,1.0,103,294,0.347,17,18.471
spa,121,407,3.99,102.002,126,379,0.332,3,3,1.0,123,376,0.325,28,14.536
spa,122,262,6.254,41.89,76,222,0.342,37,58,0.638,39,164,0.176,40,6.55
eng,144,279,3.483,80.096,97,272,0.357,97,272,0.357,0,0,0.0,7,39.857
spa,110,346,3.431,100.856,99,312,0.317,1,1,1.0,98,311,0.314,34,10.176
eng,128,377,5.567,67.725,77,296,0.26,77,296,0.26,0,0,0.0,81,4.654
eng,106,157,4.1,38.293,52,133,0.391,52,133,0.391,0,0,0.0,24,6.542
eng,113,180,4.957,36.31,70,157,0.446,70,157,0.446,0,0,0.0,23,7.826
spa,105,275,5.934,46.342,98,257,0.381,0,0,0,98,257,0.381,18,15.278
eng,122,251,3.496,71.796,110,241,0.456,110,241,0.456,0,0,0.0,10,25.1
spa,147,875,11.352,77.08,197,726,0.271,0,0,0,197,726,0.271,149,5.872
spa,137,517,9.767,52.936,114,443,0.257,2,3,0.667,112,440,0.253,74,6.986
eng,138,278,3.625,76.69,107,264,0.405,107,264,0.405,0,0,0.0,14,19.857
eng,148,609,5.2,117.115,126,513,0.246,126,513,0.246,0,0,0.0,96,6.344
spa,132,255,3.389,75.248,76,218,0.349,0,0,0,76,218,0.349,37,6.892
eng,154,493,8.05,61.242,155,449,0.345,155,449,0.345,0,0,0.0,44,11.205
spa,109,237,2.267,104.559,82,230,0.357,8,9,0.889,74,221,0.322,7,33.857
eng,131,475,5.6,84.821,142,414,0.343,142,414,0.343,0,0,0.0,61,7.787
spa,127,279,5.073,55.0,73,237,0.308,22,39,0.564,51,198,0.215,42,6.643
eng,103,351,4.61,76.142,127,323,0.393,127,323,0.393,0,0,0.0,28,12.536
spa,115,265,4.482,59.128,75,235,0.319,1,4,0.25,74,231,0.315,30,8.833
