language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
eng,334,242,3.571,67.768,91,227,0.401,91,227,0.401,0,0,0.0,15,0.062
eng,303,377,5.95,63.361,132,356,0.371,132,356,0.371,0,0,0.0,21,0.056
eng,341,332,4.083,81.306,120,295,0.407,120,295,0.407,0,0,0.0,37,0.111
eng,331,331,4.2,78.81,103,317,0.325,103,317,0.325,0,0,0.0,14,0.042
eng,329,218,5.397,40.395,88,214,0.411,88,214,0.411,0,0,0.0,4,0.018
eng,324,238,3.367,70.693,71,203,0.35,71,203,0.35,0,0,0.0,35,0.147
eng,316,398,5.633,70.649,139,364,0.382,139,364,0.382,0,0,0.0,34,0.085
eng,338,193,4.283,45.058,71,180,0.394,71,180,0.394,0,0,0.0,13,0.067
eng,328,197,4.424,44.526,80,197,0.406,80,197,0.406,0,0,0.0,0,0.0
eng,315,567,6.654,85.209,185,503,0.368,185,503,0.368,0,0,0.0,64,0.113
eng,332,313,4.983,62.809,133,297,0.448,133,297,0.448,0,0,0.0,16,0.051
eng,319,348,4.323,80.497,142,343,0.414,142,343,0.414,0,0,0.0,5,0.014
eng,337,437,4.733,92.324,152,423,0.359,152,423,0.359,0,0,0.0,14,0.032
eng,310,282,5.805,48.58,107,269,0.398,107,269,0.398,0,0,0.0,13,0.046
eng,322,199,4.013,49.589,90,197,0.457,90,197,0.457,0,0,0.0,2,0.01
eng,317,184,4.53,40.619,70,158,0.443,70,158,0.443,0,0,0.0,26,0.141
eng,339,329,3.317,99.196,104,297,0.35,104,297,0.35,0,0,0.0,32,0.097
eng,325,301,6.0,50.167,112,278,0.403,112,278,0.403,0,0,0.0,23,0.076
eng,340,313,5.7,54.912,104,275,0.378,104,275,0.378,0,0,0.0,38,0.121
eng,302,619,9.019,68.63,214,577,0.371,214,577,0.371,0,0,0.0,42,0.068
eng,335,512,5.567,91.976,186,489,0.38,186,489,0.38,0,0,0.0,23,0.045
eng,307,199,3.25,61.229,71,197,0.36,71,197,0.36,0,0,0.0,2,0.01
eng,320,175,3.612,48.446,62,169,0.367,62,169,0.367,0,0,0.0,6,0.034
eng,323,264,4.611,57.25,105,240,0.438,105,240,0.438,0,0,0.0,24,0.091
eng,330,269,3.932,68.414,111,262,0.424,111,262,0.424,0,0,0.0,7,0.026
eng,326,133,3.922,33.91,64,128,0.5,64,128,0.5,0,0,0.0,5,0.038
eng,336,178,4.683,38.007,70,163,0.429,70,163,0.429,0,0,0.0,15,0.084
eng,301,205,4.058,50.522,72,190,0.379,72,190,0.379,0,0,0.0,15,0.073
eng,314,229,4.809,47.622,82,213,0.385,82,213,0.385,0,0,0.0,16,0.07
