language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
spa,726,227,2.459,92.308,91,218,0.417,0,0,0,91,218,0.417,9,0.04
spa,715,316,3.062,103.209,117,302,0.387,0,0,0,117,302,0.387,14,0.044
spa,701,335,4.822,69.478,139,332,0.419,0,0,0,139,332,0.419,3,0.009
spa,719,323,3.672,87.965,112,308,0.364,0,0,0,112,308,0.364,15,0.046
spa,717,372,4.951,75.135,167,372,0.449,0,0,0,167,372,0.449,0,0.0
spa,703,258,2.64,97.716,115,258,0.446,0,0,0,115,258,0.446,0,0.0
spa,706,431,4.141,104.088,160,419,0.382,0,0,0,160,419,0.382,12,0.028
spa,705,455,4.489,101.355,159,442,0.36,0,0,0,159,442,0.36,13,0.029
spa,711,493,5.722,86.166,170,455,0.374,0,0,0,170,455,0.374,38,0.077
spa,710,400,4.168,95.978,147,383,0.384,0,0,0,147,383,0.384,17,0.043
spa,704,236,3.26,72.397,96,234,0.41,0,0,0,96,234,0.41,2,0.008
spa,722,333,3.148,105.787,121,320,0.378,0,0,0,121,320,0.378,13,0.039
spa,725,377,4.67,80.724,132,349,0.378,0,0,0,132,349,0.378,28,0.074
spa,724,345,3.687,93.574,115,345,0.333,0,0,0,115,345,0.333,0,0.0
spa,721,332,2.822,117.634,131,325,0.403,0,0,0,131,325,0.403,7,0.021
spa,709,479,5.596,85.593,146,447,0.327,0,0,0,146,447,0.327,32,0.067
spa,708,204,3.004,67.914,83,199,0.417,0,0,0,83,199,0.417,5,0.025
spa,720,251,3.276,76.623,107,245,0.437,0,0,0,107,245,0.437,6,0.024
spa,718,381,3.468,109.872,139,376,0.37,0,0,0,139,376,0.37,5,0.013
spa,723,256,2.14,119.62,122,252,0.484,0,0,0,122,252,0.484,4,0.016
